State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
Maine,23,2000,20,36.3,43.7
Maryland,24,2000,20.2,36.5,43.3
Massachusetts,25,2000,16.8,36.1,47.1
Michigan,26,2000,22.4,38.7,38.9
Minnesota,27,2000,17.4,37.6,45
Mississippi,28,2000,25,36.7,38.3
Missouri,29,2000,22.1,34.4,43.5
Montana,30,2000,15.9,37.2,46.9
Nebraska,31,2000,21.1,37.4,41.5
Nevada,32,2000,17.9,35.3,46.8
New Hampshire,33,2000,18.1,36.5,45.4
New Jersey,34,2000,18.5,38.3,43.2
New Mexico,35,2000,19.3,36.2,44.5
New York,36,2000,17.7,39.2,43.1
North Carolina,37,2000,21.8,37.4,40.8
North Dakota,38,2000,20.4,40,39.6
Ohio,39,2000,21.5,35.7,42.8
Oklahoma,40,2000,19.7,36.6,43.7
Oregon,41,2000,21.5,36.1,42.4
Pennsylvania,42,2000,21.2,36.4,42.4
Rhode Island,44,2000,17.1,36.6,46.3
South Carolina,45,2000,22,36.9,41.1
South Dakota,46,2000,19.8,38.9,41.3
Tennessee,47,2000,22.9,36.5,40.6
Texas,48,2000,23.1,36.7,40.2
Utah,49,2000,19.1,35,45.9
Vermont,50,2000,18.2,34.6,47.2
Virginia,51,2000,18.2,38,43.8
Washington,53,2000,18.8,36.3,44.9
West Virginia,54,2000,23.2,36.5,40.3
Wisconsin,55,2000,20,37.8,42.2
Wyoming,56,2000,18,37.2,44.8
Alabama,01,2001,24.5,37.2,38.3
Alaska,02,2001,22.1,41.2,36.7
Arizona,04,2001,18.5,37.5,44
Arkansas,05,2001,22.4,37.1,40.5
California,06,2001,21.9,37.5,40.6
Colorado,08,2001,14.9,36.7,48.4
Connecticut,09,2001,17.9,37.2,44.9
Delaware,10,2001,20.8,38.4,40.8
Florida,12,2001,18.8,37.1,44.1
Georgia,13,2001,22.7,36.7,40.6
Idaho,16,2001,20.5,38.8,40.7
Illinois,17,2001,21,37.6,41.4
Indiana,18,2001,24.5,35.5,40
Iowa,19,2001,22.5,37.3,40.2
Kansas,20,2001,21.6,35.4,43
Kentucky,21,2001,24.6,37.5,37.9
Louisiana,22,2001,24,36.3,39.7
Maine,23,2001,19.5,39.3,41.2
Maryland,24,2001,20.5,36.5,43
Massachusetts,25,2001,16.6,37.8,45.6
Michigan,26,2001,25,35.2,39.8
Minnesota,27,2001,19.9,40.6,39.5
Mississippi,28,2001,26.5,37.4,36.1
Missouri,29,2001,23.2,36.2,40.6
Montana,30,2001,18.8,38,43.2
Nebraska,31,2001,20.7,38.4,40.9
Nevada,32,2001,19.5,37,43.5
New Hampshire,33,2001,19.4,36.6,44
New Jersey,34,2001,19.6,38.1,42.3
New Mexico,35,2001,19.7,37.4,42.9
